"SCTRY","Value added source country","SINDY","Value added source industry","XCTRY","Country of final demand","XINDY","Industry of final demand","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"WLD","World","DTOTAL","TOTAL","WLD","World","D01T03","Agriculture, forestry and fishing","2015","2015","USD","US Dollar","6","Millions",,,2377206.669,,
"WLD","World","D01T03","Agriculture, forestry and fishing","WLD","World","D01T03","Agriculture, forestry and fishing","2015","2015","USD","US Dollar","6","Millions",,,1646550.498,,
"WLD","World","D05T09","Mining and quarrying","WLD","World","D01T03","Agriculture, forestry and fishing","2015","2015","USD","US Dollar","6","Millions",,,98095.865,,
"WLD","World","D05T06","Mining and extraction of energy producing products","WLD","World","D01T03","Agriculture, forestry and fishing","2015","2015","USD","US Dollar","6","Millions",,,65881.889,,
"WLD","World","D07T08","Mining and quarrying of non-energy producing products","WLD","World","D01T03","Agriculture, forestry and fishing","2015","2015","USD","US Dollar","6","Millions",,,16497.527,,
"WLD","World","D09","Mining support service activities","WLD","World","D01T03","Agriculture, forestry and fishing","2015","2015","USD","US Dollar","6","Millions",,,15716.449,,
"WLD","World","D10T33","Manufacturing","WLD","World","D01T03","Agriculture, forestry and fishing","2015","2015","USD","US Dollar","6","Millions",,,216413.244,,
"WLD","World","D10T12","Food products, beverages and tobacco","WLD","World","D01T03","Agriculture, forestry and fishing","2015","2015","USD","US Dollar","6","Millions",,,70956.444,,
"WLD","World","D13T15","Textiles, wearing apparel, leather and related products","WLD","World","D01T03","Agriculture, forestry and fishing","2015","2015","USD","US Dollar","6","Millions",,,6867.446,,
"WLD","World","D16T18","Wood and paper products; printing","WLD","World","D01T03","Agriculture, forestry and fishing","2015","2015","USD","US Dollar","6","Millions",,,8936.3,,
"WLD","World","D16","Wood and products of wood and cork","WLD","World","D01T03","Agriculture, forestry and fishing","2015","2015","USD","US Dollar","6","Millions",,,2229.421,,
"WLD","World","D17T18","Paper products and printing","WLD","World","D01T03","Agriculture, forestry and fishing","2015","2015","USD","US Dollar","6","Millions",,,6706.879,,
"WLD","World","D19T23","Chemicals and non-metallic mineral products","WLD","World","D01T03","Agriculture, forestry and fishing","2015","2015","USD","US Dollar","6","Millions",,,90451.073,,
"WLD","World","D19","Coke and refined petroleum products","WLD","World","D01T03","Agriculture, forestry and fishing","2015","2015","USD","US Dollar","6","Millions",,,25863.44,,
"WLD","World","D20T21","Chemicals and pharmaceutical products","WLD","World","D01T03","Agriculture, forestry and fishing","2015","2015","USD","US Dollar","6","Millions",,,53000.934,,
"WLD","World","D22","Rubber and plastic products","WLD","World","D01T03","Agriculture, forestry and fishing","2015","2015","USD","US Dollar","6","Millions",,,7198.151,,
"WLD","World","D23","Other non-metallic mineral products","WLD","World","D01T03","Agriculture, forestry and fishing","2015","2015","USD","US Dollar","6","Millions",,,4388.549,,
