Country,Variable,Code,Name,Value
Australia,Turnover,D05T09,Mining and quarrying,129043.030780613
Australia,Turnover,D05T09,Mining and quarrying,170779.15251205
Australia,Turnover,D05T09,Mining and quarrying,170779.15251205
Austria,Turnover,D05T09,Mining and quarrying,
Austria,Number of employees,D05T09,Mining and quarrying,
Austria,Number of enterprises,D05T09,Mining and quarrying,5
Austria,Turnover,D05T09,Mining and quarrying,1883.53726800766
Austria,Number of employees,D05T09,Mining and quarrying,5997
Austria,Number of enterprises,D05T09,Mining and quarrying,348
Austria,Turnover,D05T09,Mining and quarrying,1883.53726800766
Austria,Number of employees,D05T09,Mining and quarrying,5997
Austria,Number of enterprises,D05T09,Mining and quarrying,348
Belgium,Turnover,D05T09,Mining and quarrying,
Belgium,Number of employees,D05T09,Mining and quarrying,
Belgium,Number of enterprises,D05T09,Mining and quarrying,
Belgium,Turnover,D05T09,Mining and quarrying,775.584771697318
Belgium,Number of employees,D05T09,Mining and quarrying,2506
Belgium,Number of enterprises,D05T09,Mining and quarrying,213
Belgium,Turnover,D05T09,Mining and quarrying,775.584771697318
Belgium,Number of employees,D05T09,Mining and quarrying,2506
Belgium,Number of enterprises,D05T09,Mining and quarrying,213
Denmark,Turnover,D05T09,Mining and quarrying,33484.4260695556
Denmark,Number of employees,D05T09,Mining and quarrying,3914
Denmark,Number of enterprises,D05T09,Mining and quarrying,213
Finland,Turnover,D05T09,Mining and quarrying,626.523975463602
Finland,Number of employees,D05T09,Mining and quarrying,1606
Finland,Number of enterprises,D05T09,Mining and quarrying,4
Finland,Turnover,D05T09,Mining and quarrying,1352.45185554981
Finland,Number of employees,D05T09,Mining and quarrying,5301
Finland,Number of enterprises,D05T09,Mining and quarrying,865
Finland,Turnover,D05T09,Mining and quarrying,1352.45185554981
Finland,Number of employees,D05T09,Mining and quarrying,5301
Finland,Number of enterprises,D05T09,Mining and quarrying,865
France,Turnover,D05T09,Mining and quarrying,1446.08799054789
France,Number of employees,D05T09,Mining and quarrying,4757
France,Number of enterprises,D05T09,Mining and quarrying,12
France,Turnover,D05T09,Mining and quarrying,5518.94443806322
France,Number of employees,D05T09,Mining and quarrying,19751
France,Number of enterprises,D05T09,Mining and quarrying,2095
France,Turnover,D05T09,Mining and quarrying,5518.94443806322
France,Number of employees,D05T09,Mining and quarrying,19751
France,Number of enterprises,D05T09,Mining and quarrying,2095
Germany,Turnover,D05T09,Mining and quarrying,6199.54125375671
Germany,Number of employees,D05T09,Mining and quarrying,28813
Germany,Number of enterprises,D05T09,Mining and quarrying,22
Germany,Turnover,D05T09,Mining and quarrying,11600.9673857203
Germany,Number of employees,D05T09,Mining and quarrying,57518
Germany,Number of enterprises,D05T09,Mining and quarrying,1813
Germany,Turnover,D05T09,Mining and quarrying,11600.9673857203
Germany,Number of employees,D05T09,Mining and quarrying,57518
Germany,Number of enterprises,D05T09,Mining and quarrying,1813
Hungary,Turnover,D05T09,Mining and quarrying,
Hungary,Number of employees,D05T09,Mining and quarrying,
Hungary,Number of enterprises,D05T09,Mining and quarrying,
Hungary,Turnover,D05T09,Mining and quarrying,120606.766490747
Hungary,Number of employees,D05T09,Mining and quarrying,4053
Hungary,Number of enterprises,D05T09,Mining and quarrying,428
Hungary,Turnover,D05T09,Mining and quarrying,120606.766490747
Hungary,Number of employees,D05T09,Mining and quarrying,4053
Hungary,Number of enterprises,D05T09,Mining and quarrying,428
Ireland,Turnover,D05T09,Mining and quarrying,
Ireland,Number of employees,D05T09,Mining and quarrying,
Ireland,Number of enterprises,D05T09,Mining and quarrying,
Ireland,Turnover,D05T09,Mining and quarrying,876.160254524905
Ireland,Number of employees,D05T09,Mining and quarrying,4069
Ireland,Number of enterprises,D05T09,Mining and quarrying,405
Ireland,Turnover,D05T09,Mining and quarrying,876.160254524905
Ireland,Number of employees,D05T09,Mining and quarrying,4069
Ireland,Number of enterprises,D05T09,Mining and quarrying,405
Italy,Turnover,D05T09,Mining and quarrying,41238.4713585211
Italy,Number of employees,D05T09,Mining and quarrying,13180
Italy,Number of enterprises,D05T09,Mining and quarrying,5
Italy,Turnover,D05T09,Mining and quarrying,46347.2733034406
Italy,Number of employees,D05T09,Mining and quarrying,28389
Italy,Number of enterprises,D05T09,Mining and quarrying,2186
Italy,Turnover,D05T09,Mining and quarrying,46347.2733034406
Italy,Number of employees,D05T09,Mining and quarrying,28389
Italy,Number of enterprises,D05T09,Mining and quarrying,2186
Korea,Turnover,D05T09,Mining and quarrying,175418.602203774
Korea,Number of employees,D05T09,Mining and quarrying,1836
Korea,Turnover,D05T09,Mining and quarrying,3437437.48983391
Korea,Number of employees,D05T09,Mining and quarrying,13322
Luxembourg,Turnover,D05T09,Mining and quarrying,0
Luxembourg,Number of employees,D05T09,Mining and quarrying,0
Luxembourg,Number of enterprises,D05T09,Mining and quarrying,0
Luxembourg,Turnover,D05T09,Mining and quarrying,66.9602004846744
Luxembourg,Number of employees,D05T09,Mining and quarrying,248
Luxembourg,Number of enterprises,D05T09,Mining and quarrying,10
Luxembourg,Turnover,D05T09,Mining and quarrying,66.9602004846744
Luxembourg,Number of employees,D05T09,Mining and quarrying,248
Luxembourg,Number of enterprises,D05T09,Mining and quarrying,10
New Zealand,Turnover,D05T09,Mining and quarrying,6137.26736609196
Poland,Turnover,D05T09,Mining and quarrying,39160.1817442855
Poland,Number of employees,D05T09,Mining and quarrying,131204
Poland,Number of enterprises,D05T09,Mining and quarrying,40
Poland,Turnover,D05T09,Mining and quarrying,45372.8807224981
Poland,Number of employees,D05T09,Mining and quarrying,150903
Poland,Number of enterprises,D05T09,Mining and quarrying,2008
Poland,Turnover,D05T09,Mining and quarrying,45372.8807224981
Poland,Number of employees,D05T09,Mining and quarrying,150903
Poland,Number of enterprises,D05T09,Mining and quarrying,2008
Portugal,Turnover,D05T09,Mining and quarrying,403.653752316092
Portugal,Number of employees,D05T09,Mining and quarrying,1995
Portugal,Number of enterprises,D05T09,Mining and quarrying,4
Portugal,Turnover,D05T09,Mining and quarrying,874.898554919541
Portugal,Number of employees,D05T09,Mining and quarrying,8731
Portugal,Number of enterprises,D05T09,Mining and quarrying,1066
Portugal,Turnover,D05T09,Mining and quarrying,874.898554919541
Portugal,Number of employees,D05T09,Mining and quarrying,8731
Portugal,Number of enterprises,D05T09,Mining and quarrying,1066
Slovak Republic,Turnover,D05T09,Mining and quarrying,
Slovak Republic,Number of employees,D05T09,Mining and quarrying,
Slovak Republic,Number of enterprises,D05T09,Mining and quarrying,
Slovak Republic,Turnover,D05T09,Mining and quarrying,520.811572814176
Slovak Republic,Number of employees,D05T09,Mining and quarrying,6743
Slovak Republic,Number of enterprises,D05T09,Mining and quarrying,187
Slovak Republic,Turnover,D05T09,Mining and quarrying,520.811572814176
Slovak Republic,Number of employees,D05T09,Mining and quarrying,6743
Slovak Republic,Number of enterprises,D05T09,Mining and quarrying,187
Spain,Turnover,D05T09,Mining and quarrying,872.915884111112
Spain,Number of employees,D05T09,Mining and quarrying,3908
Spain,Number of enterprises,D05T09,Mining and quarrying,10
Spain,Turnover,D05T09,Mining and quarrying,3048.62673216092
Spain,Number of employees,D05T09,Mining and quarrying,17688
Spain,Number of enterprises,D05T09,Mining and quarrying,2219
Spain,Turnover,D05T09,Mining and quarrying,3048.62673216092
Spain,Number of employees,D05T09,Mining and quarrying,17688
Spain,Number of enterprises,D05T09,Mining and quarrying,2219
Sweden,Turnover,D05T09,Mining and quarrying,24028.348012954
Sweden,Number of employees,D05T09,Mining and quarrying,7151
Sweden,Number of enterprises,D05T09,Mining and quarrying,3
Sweden,Turnover,D05T09,Mining and quarrying,31841.6030619713
Sweden,Number of employees,D05T09,Mining and quarrying,9510
Sweden,Number of enterprises,D05T09,Mining and quarrying,732
Sweden,Turnover,D05T09,Mining and quarrying,31841.6030619713
Sweden,Number of employees,D05T09,Mining and quarrying,9510
Sweden,Number of enterprises,D05T09,Mining and quarrying,732
United Kingdom,Turnover,D05T09,Mining and quarrying,20634.0155889234
United Kingdom,Number of employees,D05T09,Mining and quarrying,53356
United Kingdom,Number of enterprises,D05T09,Mining and quarrying,52
United Kingdom,Turnover,D05T09,Mining and quarrying,31303.3980588832
United Kingdom,Number of employees,D05T09,Mining and quarrying,68544
United Kingdom,Number of enterprises,D05T09,Mining and quarrying,1234
United Kingdom,Turnover,D05T09,Mining and quarrying,31303.3980588832
United Kingdom,Number of employees,D05T09,Mining and quarrying,68544
United Kingdom,Number of enterprises,D05T09,Mining and quarrying,1234
Estonia,Turnover,D05T09,Mining and quarrying,220.617188137931
Estonia,Number of employees,D05T09,Mining and quarrying,3043
Estonia,Number of enterprises,D05T09,Mining and quarrying,2
Estonia,Turnover,D05T09,Mining and quarrying,358.683173524904
Estonia,Number of employees,D05T09,Mining and quarrying,4742
Estonia,Number of enterprises,D05T09,Mining and quarrying,143
Estonia,Turnover,D05T09,Mining and quarrying,358.683173524904
Estonia,Number of employees,D05T09,Mining and quarrying,4742
Estonia,Number of enterprises,D05T09,Mining and quarrying,143
Latvia,Turnover,D05T09,Mining and quarrying,
Latvia,Number of employees,D05T09,Mining and quarrying,457
Latvia,Number of enterprises,D05T09,Mining and quarrying,1
Latvia,Turnover,D05T09,Mining and quarrying,202.50278666092
Latvia,Number of employees,D05T09,Mining and quarrying,3194
Latvia,Number of enterprises,D05T09,Mining and quarrying,268
Lithuania,Turnover,D05T09,Mining and quarrying,0
Lithuania,Number of employees,D05T09,Mining and quarrying,0
Lithuania,Number of enterprises,D05T09,Mining and quarrying,0
Lithuania,Turnover,D05T09,Mining and quarrying,171.591146329502
